,popularity
264517,33
241579,30
146258,29
81495,8
536638,6
252749,26
27774,18
434364,40
11547,14
196998,19
507226,9
256352,55
193435,34
61287,43
25358,0
62255,43
254125,26
226551,12
382076,58
21461,0
330845,35
328189,28
433811,34
546472,8
3798,0
524871,16
368429,21
86950,62
115801,40
113311,56
497702,29
2214,0
319232,5
330776,36
197973,39
68793,55
486651,16
500148,47
386558,47
338612,17
10481,0
465622,31
417663,15
148610,36
566918,33
76104,58
178630,32
20129,0
165285,36
45790,47
452203,19
264475,4
453283,17
217193,41
317220,27
397275,50
445557,22
446998,28
190876,30
160256,0
176141,51
346936,20
460523,39
66607,59
541908,4
455490,1
26499,62
370831,41
25383,0
541586,19
39494,25
307289,18
26321,0
527555,36
364391,13
320120,6
330874,35
111853,31
546829,16
211514,0
547240,10
16765,0
132749,0
309314,16
328875,28
267465,21
387315,33
193566,30
65352,44
437066,48
441280,26
216870,44
169521,11
64892,51
349449,37
530142,0
215737,44
446665,28
398360,40
8943,2
171343,17
278894,33
217359,37
29383,9
312338,32
277103,32
295679,39
498259,34
332430,20
55827,48
180048,9
497535,31
308760,22
566674,30
410565,17
501637,2
266414,7
362848,7
160725,1
47412,37
155527,35
582877,34
495886,28
323312,55
86554,66
423657,31
415389,44
31877,29
117347,39
342824,27
557535,32
275982,55
153368,39
434526,40
557473,33
108736,33
443795,35
350719,43
537384,19
451784,16
499050,37
195209,4
499017,37
387571,27
130018,56
467614,1
224057,17
426098,5
238223,54
472619,17
575075,32
184702,45
475621,43
554465,47
258928,8
582124,46
465825,43
377347,19
199893,50
129094,47
375768,20
286130,35
311942,35
576787,9
325079,21
10307,0
188219,1
557700,1
133721,0
222211,13
409810,11
566166,17
125215,7
14324,0
357733,35
483966,35
310230,39
330782,11
535064,24
245354,57
14296,0
264535,31
294328,28
439249,63
112671,49
165206,36
216950,27
575437,40
40579,58
304128,61
279535,46
413282,19
500956,58
457643,16
196297,20
284855,56
47480,36
422243,20
435397,43
322193,49
515791,12
11765,0
30320,15
528590,41
171341,14
257988,21
529975,46
568263,30
59400,40
22097,0
362185,8
230350,59
498897,42
543531,0
245641,0
44660,53
370194,44
54078,44
348303,27
